Project Name,Test Companion Mobile Testing
Build Name,ANDROID Session
Build ID,"=""330044"""
Created By,Saidinesh Narisetti
Created At,2026-09-19T07:41:00.209Z
WCAG Version,WCAG 2.2 AAA
Excluded Rules,None
Excluded Rules Categories,None
App Package Name,com.hackathonqa.encore
App Version,"="""""
Auto Scanning,true
Issue Summary,"Total 209, Critical 0, Serious 191, Moderate 10, Minor 8"
Snapshot Count,"=""8"""
Report Link,https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr

Test Name,Device,Issue Type,Issue Description,WCAG,Severity,Element ID,Scan Number,Issue Index,Needs Review,Test Excluded Rules,Test Excluded Rule Categories,Duplicate,Experimental,Issue Details,How to Fix,Element Properties,Issue Link,Docs Link
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,N/A,1,1,No,None,None,FALSE,FALSE,"{""visibleText"":""\""E\"""",""detectedLabel"":""\""capital E\""""}",Ensure that text begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.TextView\""""},{""viewId"":null},{""frame"":""{\""x\"":516,\""y\"":813,\""width\"":48,\""height\"":112}""},{""visibleText"":""\""E\""""},{""text"":""\""E\""""},{""accessible"":true},{""accessibilityLabel"":""\""\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""capital E\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjowLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjEifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Missing Heading,Ensure that text elements visually functioning as headings are programmatically marked as headings,WCAG 2.2-1.3.1 A,Moderate,landing-title,1,2,No,None,None,FALSE,FALSE,"{""text"":""\""Encore\"""",""isHeading"":false}",Ensure the elements serving as headings visually are programmatically marked as heading in respective frameworks,"[{""className"":""\""android.widget.TextView\""""},{""frame"":""{\""x\"":370,\""y\"":1013,\""width\"":340,\""height\"":145}""},{""text"":""\""Encore\""""},{""detectedLabel"":""\""\""""},{""accessible"":true},{""isHeading"":false}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjowLCJydWxlX2lkIjoibWlzc2luZy1oZWFkaW5nIiwiaXNzdWVfaW5kZXgiOiIyIn0=,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/content-structure/missing-heading
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Classical,2,1,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""41\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '41 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Classical\""""},{""frame"":""{\""x\"":957,\""y\"":285,\""width\"":123,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""41\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjEifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Theater,2,2,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""79\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '79 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Theater\""""},{""frame"":""{\""x\"":696,\""y\"":285,\""width\"":237,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""79\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjIifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Music,2,3,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""69\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '69 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Music\""""},{""frame"":""{\""x\"":221,\""y\"":285,\""width\"":209,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""69\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjMifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-All,2,4,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""49\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '49 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-All\""""},{""frame"":""{\""x\"":48,\""y\"":285,\""width\"":149,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""49\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjQifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Sports,2,5,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""72\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '72 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Sports\""""},{""frame"":""{\""x\"":454,\""y\"":285,\""width\"":218,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""72\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjUifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,my-bookings-nav-button,2,6,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""91\"""",""calculatedHeight"":""\""20\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '91 x 20'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""my-bookings-nav-button\""""},{""frame"":""{\""x\"":757,\""y\"":134,\""width\"":275,\""height\"":61}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""91\""""},{""calculatedHeight"":""\""20\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjYifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-Classical,2,7,No,None,None,FALSE,FALSE,"{""visibleText"":""\""Classical\"""",""detectedLabel"":""\""Filter by Classical, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Classical\""""},{""frame"":""{\""x\"":957,\""y\"":285,\""width\"":123,\""height\"":107}""},{""visibleText"":""\""Classical\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by Classical\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""Filter by Classical, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjcifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,event-card-evt-28,2,8,No,None,None,FALSE,FALSE,"{""visibleText"":""\""Sports, From $72\"""",""detectedLabel"":""\""City Derby Night, Sports, from $72, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""event-card-evt-28\""""},{""frame"":""{\""x\"":48,\""y\"":1040,\""width\"":984,\""height\"":525}""},{""visibleText"":""\""Sports, From $72\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""City Derby Night, Sports, from $72\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""City Derby Night, Sports, from $72, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoxLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjgifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
